personId,name,birthYear,deathYear
16782,Monica Bleibtreu,1944,2009
87462,Susan Roman,1957,
143658,Anton Megerdichev,,
54691,Christopher Mintz-Plasse,1989,
303064,Megan Griffiths,,
73514,Curt May,1945,
8872,Rick Moranis,1953,
53377,Kulbhushan Kharbanda,1944,
28950,Lisa Eichhorn,1952,
30161,Donnie Dunagan,1934,
101377,Paul Bartel,1938,2000
4238,Common,1972,
2672,Jack Carson,1910,1963
1042437,Mikhail Kaufman,1897,1980
28782,Monica Bellucci,1964,
2887,Tom Waits,1949,
92808,Gabriel Jarret,1970,
9068,Ray Bolger,1904,1987
1215525,Jorge Garcia,1973,
54447,Samuel West,1966,
119370,Omero Capanna,1942,2003
42547,Jay Acovone,1955,
70055,Jack Gold,1930,
3262,James Flavin,1906,1976
9832,Tyler Mane,1966,
106101,Tudor Owen,1898,1979
65553,Bill Graham,1931,1991
21318,Scout Taylor-Compton,1989,
15044,Leila Kenzle,1960,
3417,Tony Goldwyn,1960,
65017,Natalija Nogulich,1950,
4743,Jonathan Togo,1977,
16783,Hannah Herzsprung,1981,
3907,Harve Presnell,1933,2009
4251,John Mahoney,1940,
53399,Buddy Guy,1936,
86031,Rakhi Sawant,1980,
57193,Gil Kenan,1976,
58830,Jeannine Roussel,,
47468,Frances de la Tour,1944,
10262,Andréa Ferréol,1947,
111080,Patrick Bristow,1962,
1735,Frank McRae,1942,
21306,Albert Austin,1882,1953
4122,Helmut Dantine,1918,1982
38507,Francis Veber,1937,
120046,Dewey Robinson,1898,1950
134122,Tao Hong,1972,
65429,Kunihiko Yuyama,1952,
53507,Elina Salo,1936,
81287,Shannon Whirry,1964,
107170,Jarvis Cocker,1963,
3026,Rob Reiner,1947,
230685,Maggie Hayes,1916,1977
141492,Silvia Colloca,1977,
46393,Roseanne Barr,1952,
3130,Jennifer Beals,1963,
88699,Steven R. McQueen,1988,
24248,Nigel Cole,,
564,Richard Linklater,1960,
8632,Fred Clark,1914,1968
553810,Naoko Watanabe,1984,
37186,Josée Dayan,,
9242,Giuliana Lojodice,1940,
55206,Otis Day,1951,
64140,Sanaa Hamri,,
454415,Tanya Fischer,1985,
109562,Stephanie Andujar,1986,
160970,Ray Buktenica,1943,
73421,Joaquin Phoenix,1974,
56891,Rachel Talalay,,
20310,Takashi Shimizu,1972,
58032,Jessica Campbell,1982,
6885,Charlize Theron,1975,
10698,Tchéky Karyo,1953,
1030313,Kai James,1993,
660,Anthony Higgins,1947,
129759,Reg Rogers,1964,
70626,Tsutomu Yamazaki,1936,
149010,Orlando Brown,1987,
7400,Lee Evans,1964,
57399,Lesley-Anne Down,1954,
578014,Patrick Criado,1995,
88052,Milutin Milošević,1981,
8397,Charlie Creed-Miles,1972,
1187819,Matthew Weiner,,
8574,Walter Salles,1956,
14995,Alan Myerson,1940,
7818,Lars Gärtner,1974,
3223,Robert Downey Jr.,1965,
27566,Penelope Milford,1948,
1073985,Andreas Pietschmann,1969,
31531,John Di Maggio,1968,
26294,Lindsay Frost,1962,
1048574,David Kaye,1988,
36801,Adam Scott,1973,
97985,Angelo Rossitto,1908,1991
79654,Robert Katims,1933,
64191,Lawrence Guterman,,
39596,Tricia Vessey,1972,
77330,Kenan Thompson,1978,
54525,Jaume Balagueró,1968,
3651,Fernando Guillén,1932,2013
19578,Alexis Arquette,1969,
81199,Sean McGinly,,
227611,Mirai Shida,1993,
234926,Afshan Azad,1988,
389,Alison Eastwood,1972,
15079,James A. Baffico,1942,
97935,Anton Diffring,1918,1989
38942,Dana Fuchs,1978,
93911,Terence Davies,1945,
1028470,Karan Malhotra,,
127440,Hideki Takeuchi,,
109713,Rita Blanco,1963,
127654,Cléo Pires,1982,
1219107,Dorothy Lucey,1958,
34551,Reece Shearsmith,1969,
7223,Christopher Lawford,1955,
210395,Laivan Greene,1992,
14683,Ruth Hussey,1911,2005
1080771,Alexander Vlahos,1988,
181214,Ada Nicodemou,1977,
11659,David Bowe,1964,
101250,Kim Poirier,1980,
74831,John Zenda,1944,1994
105868,Filippo Timi,1974,
86999,Irina Muravyova,1949,
974,Dexter Fletcher,1966,
43442,Kerr Smith,1972,
183,Kôji Morimoto,1959,
45587,Jack Shepherd,1940,
1287732,Feng Xiaogang,,
45645,Deran Sarafian,1958,
119590,D.C. Pierson,1984,
20861,Heidi Brühl,1942,1991
15072,Gaylen Ross,1950,
146413,Danny Mooney ,,
79610,Sarah-Jeanne Labrosse,1991,
5292,Denzel Washington,1954,
4453,Thomas Vinterberg,1969,
23680,Dee Bradley Baker,1962,
152670,Fran Ryan,1916,2000
152666,Gary Collins,1938,2012
52462,Betty Buckley,1947,
52442,Olivia Thirlby,1986,
20510,Richard Johnson,1927,
4520,William Forsythe,1955,
137146,Carl Ng,1976,
24387,Pierre Mondy,1925,2012
75344,Barry Livingston,1953,
36669,Rupert Friend,1981,
3933,Stipe Erceg,1974,
120918,Mitsuru Fukikoshi,1965,
33317,David Leland,1947,
16720,Bernd Stegemann,1949,
113676,Helena Mattsson,1984,
19463,Harry Andrews,1911,1989
55195,James Widdoes,1953,
10839,Leonor Varela,1972,
151386,Sybil Azur,1972,
1140272,Logan Miller,,
3802,Lee Wallace,1930,
63661,Jenny Mollen,1979,
95216,Tim Kazurinsky,1950,
47757,Kelly Rowan,1965,
89989,Leo Gorcey,1917,1969
15121,Simon Schwarz,1971,
33667,Victor Browne,1967,
109095,Oz Scott,1949,
53178,Mike Tollin,1955,
13021,William Baldwin,1963,
16607,Alon Aboutboul,1965,
